,ano,casa,visitante,gols_casa,gols_visitante,torneio,cidade,pais,neutro,vencedor,vencedor_m,total_gols
1,1873,England,Scotland,4,2,Friendly,London,England,False,England,casa,6
2,1874,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,Scotland,casa,3
4,1876,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,Scotland,casa,3
5,1876,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,Scotland,casa,4
6,1877,England,Scotland,1,3,Friendly,London,England,False,Scotland,visitante,4
7,1877,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,Scotland,visitante,2
8,1878,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,Scotland,casa,9
9,1878,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,Scotland,casa,9
10,1879,England,Wales,2,1,Friendly,London,England,False,England,casa,3
11,1879,England,Scotland,5,4,Friendly,London,England,False,England,casa,9
12,1879,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Scotland,visitante,3
13,1880,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,Scotland,casa,9
14,1880,Wales,England,2,3,Friendly,Wrexham,Wales,False,England,visitante,5
15,1880,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,Scotland,casa,6
16,1881,England,Wales,0,1,Friendly,Blackburn,England,False,Wales,visitante,1
17,1881,England,Scotland,1,6,Friendly,London,England,False,Scotland,visitante,7
18,1881,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,Scotland,visitante,6
19,1882,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,England,visitante,13
20,1882,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,Wales,casa,8
21,1882,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,Scotland,casa,6
22,1882,Wales,England,5,3,Friendly,Wrexham,Wales,False,Wales,casa,8
23,1882,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,Scotland,casa,5
24,1883,England,Wales,5,0,Friendly,London,England,False,England,casa,5
25,1883,England,Northern Ireland,7,0,Friendly,Liverpool,England,False,England,casa,7
26,1883,England,Scotland,2,3,Friendly,Sheffield,England,False,Scotland,visitante,5
27,1883,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Scotland,visitante,3
29,1884,Northern Ireland,Scotland,0,5,British Home Championship,Belfast,Ireland,False,Scotland,visitante,5
30,1884,Wales,Northern Ireland,6,0,British Home Championship,Wrexham,Wales,False,Wales,casa,6
31,1884,Northern Ireland,England,1,8,British Home Championship,Belfast,Ireland,False,England,visitante,9
32,1884,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,1
33,1884,Wales,England,0,4,British Home Championship,Wrexham,Wales,False,England,visitante,4
34,1884,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,5
35,1885,England,Northern Ireland,4,0,British Home Championship,Manchester,England,False,England,casa,4
37,1885,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,False,Scotland,casa,10
39,1885,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,False,Scotland,visitante,9
40,1885,Northern Ireland,Wales,2,8,British Home Championship,Belfast,Ireland,False,Wales,visitante,10
41,1885,United States,Canada,0,1,Friendly,Newark,United States,False,Canada,visitante,1
42,1886,Wales,Northern Ireland,5,0,British Home Championship,Wrexham,Wales,False,Wales,casa,5
43,1886,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,False,England,visitante,7
44,1886,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False,Scotland,visitante,9
46,1886,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,England,visitante,4
